episode,steps,epsilon,episode_reward,episode_length,loss,eval_success_rate,eval_avg_reward
132,25345,0.6871,0.6906,88,0.000807,,
133,25390,0.6866,0.8418,45,0.000026,,
134,25646,0.6834,0.0000,256,0.000799,,
135,25840,0.6810,0.3180,194,0.001292,,
136,26096,0.6779,0.0000,256,0.000453,,
137,26204,0.6765,0.6203,108,0.000369,,
138,26232,0.6762,0.9016,28,0.002653,,
139,26258,0.6758,0.9086,26,0.001301,,
140,26514,0.6727,0.0000,256,0.000716,,
141,26717,0.6701,0.2863,203,0.000991,,
142,26932,0.6675,0.2441,215,0.000730,,
143,27005,0.6666,0.7434,73,0.001639,,
144,27212,0.6640,0.2723,207,0.000314,,
145,27468,0.6609,0.0000,256,0.001006,,
146,27551,0.6598,0.7082,83,0.000417,,
147,27630,0.6588,0.7223,79,0.000828,,
148,27760,0.6573,0.5430,130,0.001472,,
149,27980,0.6545,0.2266,220,0.000617,,
150,28101,0.6530,0.5746,121,0.001020,,
151,28357,0.6498,0.0000,256,0.000419,,
152,28467,0.6485,0.6133,110,0.000625,,
153,28526,0.6478,0.7926,59,0.000631,,
154,28757,0.6449,0.1879,231,0.000906,,
155,29013,0.6417,0.0000,256,0.000551,,
156,29269,0.6386,0.0000,256,0.000653,,
157,29525,0.6354,0.0000,256,0.000708,,
158,29565,0.6349,0.8594,40,0.001444,,
159,29658,0.6337,0.6730,93,0.001093,,
160,29687,0.6334,0.8980,29,0.000015,,
161,29760,0.6325,0.7434,73,0.001208,,
162,30016,0.6293,0.0000,256,0.000854,,
163,30260,0.6263,0.1422,244,0.000730,,
164,30347,0.6252,0.6941,87,0.000691,,
165,30449,0.6239,0.6414,102,0.000842,,
166,30470,0.6237,0.9262,21,0.001803,,
167,30726,0.6205,0.0000,256,0.000528,,
168,30783,0.6198,0.7996,57,0.001244,,
169,31039,0.6167,0.0000,256,0.000613,,
170,31295,0.6135,0.0000,256,0.000699,,
171,31522,0.6107,0.2020,227,0.000104,,
172,31619,0.6095,0.6590,97,0.000991,,
173,31667,0.6089,0.8313,48,0.000292,,
174,31923,0.6057,0.0000,256,0.000819,,
175,32179,0.6026,0.0000,256,0.000541,,
176,32435,0.5994,0.0000,256,0.000656,,
177,32555,0.5979,0.5781,120,0.000584,,
178,32572,0.5977,0.9402,17,0.001924,,
179,32828,0.5945,0.0000,256,0.000551,,
180,33084,0.5914,0.0000,256,0.000552,,
181,33340,0.5882,0.0000,256,0.000798,,
182,33481,0.5864,0.5043,141,0.000929,,
183,33508,0.5861,0.9051,27,0.002421,,
184,33554,0.5855,0.8383,46,0.001682,,
185,33574,0.5853,0.9297,20,0.000066,,
186,33830,0.5821,0.0000,256,0.000869,,
187,34086,0.5790,0.0000,256,0.000370,,
188,34342,0.5758,0.0000,256,0.000605,,
189,34386,0.5752,0.8453,44,0.001229,,
190,34642,0.5721,0.0000,256,0.000711,,
191,34877,0.5692,0.1738,235,0.000834,,
192,35133,0.5660,0.0000,256,0.000742,,
193,35389,0.5628,0.0000,256,0.000543,,
194,35580,0.5605,0.3285,191,0.000990,,
195,35836,0.5573,0.0000,256,0.000547,,
196,35923,0.5562,0.6941,87,0.001534,,
197,36179,0.5531,0.0000,256,0.000496,,
198,36435,0.5499,0.0000,256,0.001108,,
199,36691,0.5467,0.0000,256,0.000699,,
200,36947,0.5436,0.0000,256,0.000371,,
201,37203,0.5404,0.0000,256,0.001213,,
202,37264,0.5396,0.7855,61,0.000283,,
203,37520,0.5365,0.0000,256,0.000863,,
204,37776,0.5333,0.0000,256,0.000356,,
205,38032,0.5301,0.0000,256,0.000899,,
206,38288,0.5270,0.0000,256,0.001235,,
207,38544,0.5238,0.0000,256,0.000603,,
208,38800,0.5206,0.0000,256,0.000678,,
209,39056,0.5175,0.0000,256,0.000674,,
210,39312,0.5143,0.0000,256,0.000605,,
211,39568,0.5111,0.0000,256,0.000480,,
212,39824,0.5080,0.0000,256,0.000431,,
213,40080,0.5048,0.0000,256,0.000660,,
214,40336,0.5016,0.0000,256,0.000829,,
215,40592,0.4985,0.0000,256,0.000775,,
216,40848,0.4953,0.0000,256,0.000588,,
217,41104,0.4921,0.0000,256,0.000494,,
218,41360,0.4890,0.0000,256,0.000663,,
219,41616,0.4858,0.0000,256,0.000508,,
220,41872,0.4826,0.0000,256,0.000380,,
221,42128,0.4795,0.0000,256,0.000321,,
222,42384,0.4763,0.0000,256,0.000631,,
223,42640,0.4731,0.0000,256,0.000649,,
224,42896,0.4700,0.0000,256,0.000437,,
225,43152,0.4668,0.0000,256,0.000499,,
226,43408,0.4636,0.0000,256,0.000502,,
227,43664,0.4604,0.0000,256,0.000486,,
228,43920,0.4573,0.0000,256,0.000406,,
229,44176,0.4541,0.0000,256,0.000343,,
230,44432,0.4509,0.0000,256,0.000711,,
231,44688,0.4478,0.0000,256,0.000765,,
232,44944,0.4446,0.0000,256,0.000837,,
233,45117,0.4424,0.3918,173,0.000426,,
234,45373,0.4393,0.0000,256,0.000575,,
235,45629,0.4361,0.0000,256,0.000597,,
236,45885,0.4329,0.0000,256,0.000595,,
237,45939,0.4323,0.8102,54,0.000684,,
238,46040,0.4310,0.6449,101,0.000597,,
239,46296,0.4279,0.0000,256,0.000430,,
240,46456,0.4259,0.4375,160,0.000315,,
241,46712,0.4227,0.0000,256,0.000560,,
242,46859,0.4209,0.4832,147,0.000352,,
243,47115,0.4177,0.0000,256,0.000506,,
244,47371,0.4146,0.0000,256,0.000480,,
245,47627,0.4114,0.0000,256,0.000553,,
246,47883,0.4082,0.0000,256,0.000367,,
247,48075,0.4059,0.3250,192,0.000536,,
248,48211,0.4042,0.5219,136,0.000979,,
