episode,steps,epsilon,episode_reward,episode_length,loss,eval_success_rate,eval_avg_reward
1,256,0.9976,0.0000,256,0.001139,,
2,338,0.9966,0.7117,82,0.000027,,
3,594,0.9934,0.0000,256,0.001159,,
4,850,0.9902,0.0000,256,0.000844,,
5,1106,0.9871,0.0000,256,0.000643,,
6,1362,0.9839,0.0000,256,0.000327,,
7,1618,0.9807,0.0000,256,0.000431,,
8,1874,0.9776,0.0000,256,0.000219,,
9,2130,0.9744,0.0000,256,0.000222,,
10,2386,0.9712,0.0000,256,0.000222,,
11,2642,0.9681,0.0000,256,0.000010,,
12,2898,0.9649,0.0000,256,0.000428,,
13,3154,0.9617,0.0000,256,0.000012,,
14,3250,0.9605,0.6625,96,0.000006,,
15,3394,0.9588,0.4938,144,0.000353,,
16,3650,0.9556,0.0000,256,0.000851,,
17,3906,0.9524,0.0000,256,0.000531,,
18,4162,0.9493,0.0000,256,0.000055,,
19,4418,0.9461,0.0000,256,0.000271,,
20,4674,0.9429,0.0000,256,0.000290,,
21,4930,0.9398,0.0000,256,0.000149,,
22,5186,0.9366,0.0000,256,0.000297,,
23,5245,0.9358,0.7926,59,0.000907,,
24,5501,0.9327,0.0000,256,0.000270,,
25,5727,0.9299,0.2055,226,0.000172,,
26,5823,0.9287,0.6625,96,0.000385,,
27,6079,0.9256,0.0000,256,0.000192,,
28,6335,0.9224,0.0000,256,0.000233,,
29,6591,0.9192,0.0000,256,0.000013,,
30,6847,0.9160,0.0000,256,0.000239,,
31,7103,0.9129,0.0000,256,0.000147,,
32,7277,0.9107,0.3883,174,0.000095,,
33,7533,0.9075,0.0000,256,0.000131,,
34,7705,0.9054,0.3953,172,0.000017,,
35,7961,0.9022,0.0000,256,0.000158,,
36,8015,0.9016,0.8102,54,0.000015,,
37,8271,0.8984,0.0000,256,0.000154,,
38,8527,0.8953,0.0000,256,0.000404,,
39,8783,0.8921,0.0000,256,0.000475,,
40,9039,0.8889,0.0000,256,0.000053,,
41,9197,0.8869,0.4445,158,0.000247,,
42,9453,0.8838,0.0000,256,0.000612,,
43,9709,0.8806,0.0000,256,0.000088,,
44,9762,0.8800,0.8137,53,0.001355,,
45,10018,0.8768,0.0000,256,0.000133,,
46,10268,0.8737,0.1211,250,0.000353,,
47,10420,0.8718,0.4656,152,0.000560,,
48,10676,0.8687,0.0000,256,0.000342,,
49,10730,0.8680,0.8102,54,0.000350,,
50,10945,0.8653,0.2441,215,0.000559,,
51,11183,0.8624,0.1633,238,0.000464,,
52,11439,0.8592,0.0000,256,0.001046,,
53,11661,0.8564,0.2195,222,0.000208,,
54,11829,0.8544,0.4094,168,0.000442,,
55,12085,0.8512,0.0000,256,0.000358,,
56,12126,0.8507,0.8559,41,0.000053,,
57,12272,0.8489,0.4867,146,0.000022,,
58,12315,0.8484,0.8488,43,0.000223,,
59,12365,0.8477,0.8242,50,0.001518,,
60,12525,0.8458,0.4375,160,0.000476,,
61,12781,0.8426,0.0000,256,0.000337,,
62,12948,0.8406,0.4129,167,0.000474,,
63,13176,0.8377,0.1984,228,0.000520,,
64,13374,0.8353,0.3039,198,0.000673,,
65,13487,0.8339,0.6027,113,0.000676,,
66,13569,0.8328,0.7117,82,0.001075,,
67,13825,0.8297,0.0000,256,0.000788,,
68,13900,0.8288,0.7363,75,0.000465,,
69,14123,0.8260,0.2160,223,0.000404,,
70,14330,0.8234,0.2723,207,0.000769,,
71,14586,0.8203,0.0000,256,0.000732,,
