episode,steps,epsilon,episode_reward,episode_length,loss,eval_success_rate,eval_avg_reward
132,25591,0.6841,0.0000,256,0.001274,,
133,25847,0.6809,0.0000,256,0.002316,,
134,25952,0.6796,0.6309,105,0.001465,,
135,25998,0.6790,0.8383,46,0.001443,,
136,26254,0.6759,0.0000,256,0.002494,,
137,26325,0.6750,0.7504,71,0.003353,,
138,26552,0.6722,0.2020,227,0.001435,,
139,26644,0.6711,0.6766,92,0.004178,,
140,26900,0.6679,0.0000,256,0.001688,,
141,27090,0.6655,0.3320,190,0.001639,,
142,27346,0.6624,0.0000,256,0.002131,,
143,27364,0.6622,0.9367,18,0.001656,,
144,27487,0.6606,0.5676,123,0.002399,,
145,27636,0.6588,0.4762,149,0.001938,,
146,27673,0.6583,0.8699,37,0.002892,,
147,27710,0.6579,0.8699,37,0.002171,,
148,27837,0.6563,0.5535,127,0.001738,,
149,27882,0.6557,0.8418,45,0.002575,,
150,28138,0.6526,0.0000,256,0.002245,,
151,28394,0.6494,0.0000,256,0.002442,,
152,28650,0.6462,0.0000,256,0.001628,,
153,28906,0.6431,0.0000,256,0.001604,,
154,29007,0.6418,0.6449,101,0.001633,,
155,29263,0.6386,0.0000,256,0.001860,,
156,29519,0.6355,0.0000,256,0.001551,,
157,29775,0.6323,0.0000,256,0.001648,,
158,30031,0.6291,0.0000,256,0.002284,,
159,30287,0.6260,0.0000,256,0.002255,,
160,30543,0.6228,0.0000,256,0.001817,,
161,30799,0.6196,0.0000,256,0.002078,,
162,31055,0.6165,0.0000,256,0.002265,,
163,31311,0.6133,0.0000,256,0.002322,,
164,31567,0.6101,0.0000,256,0.001896,,
165,31823,0.6070,0.0000,256,0.002305,,
166,32079,0.6038,0.0000,256,0.002583,,
167,32335,0.6006,0.0000,256,0.002955,,
168,32591,0.5975,0.0000,256,0.001889,,
169,32847,0.5943,0.0000,256,0.001790,,
170,33103,0.5911,0.0000,256,0.002244,,
171,33359,0.5880,0.0000,256,0.002452,,
172,33615,0.5848,0.0000,256,0.002190,,
173,33871,0.5816,0.0000,256,0.002185,,
174,34127,0.5785,0.0000,256,0.002517,,
175,34152,0.5782,0.9121,25,0.001463,,
176,34408,0.5750,0.0000,256,0.001754,,
177,34664,0.5718,0.0000,256,0.002824,,
178,34920,0.5687,0.0000,256,0.002019,,
179,35176,0.5655,0.0000,256,0.002122,,
180,35432,0.5623,0.0000,256,0.002372,,
181,35688,0.5592,0.0000,256,0.001994,,
182,35944,0.5560,0.0000,256,0.001941,,
183,36200,0.5528,0.0000,256,0.001742,,
184,36283,0.5518,0.7082,83,0.002410,,
185,36539,0.5486,0.0000,256,0.001752,,
186,36795,0.5454,0.0000,256,0.002204,,
187,37051,0.5423,0.0000,256,0.001964,,
188,37307,0.5391,0.0000,256,0.001538,,
189,37563,0.5359,0.0000,256,0.002212,,
190,37819,0.5328,0.0000,256,0.002038,,
191,38075,0.5296,0.0000,256,0.002369,,
192,38173,0.5284,0.6555,98,0.002634,,
193,38429,0.5252,0.0000,256,0.001780,,
194,38609,0.5230,0.3672,180,0.001982,,
195,38640,0.5226,0.8910,31,0.001479,,
196,38658,0.5224,0.9367,18,0.003186,,
197,38901,0.5194,0.1457,243,0.002106,,
198,38949,0.5188,0.8313,48,0.002063,,
199,39067,0.5173,0.5852,118,0.002736,,
200,39093,0.5170,0.9086,26,0.003220,,
201,39349,0.5138,0.0000,256,0.001960,,
202,39390,0.5133,0.8559,41,0.001537,,
203,39646,0.5101,0.0000,256,0.002040,,
204,39902,0.5070,0.0000,256,0.001751,,
205,40158,0.5038,0.0000,256,0.001645,,
206,40414,0.5006,0.0000,256,0.002373,,
207,40512,0.4995,0.6555,98,0.003606,,
208,40718,0.4969,0.2758,206,0.001775,,
209,40974,0.4937,0.0000,256,0.001566,,
210,41230,0.4905,0.0000,256,0.002082,,
211,41486,0.4874,0.0000,256,0.001998,,
212,41742,0.4842,0.0000,256,0.002384,,
213,41827,0.4832,0.7012,85,0.001663,,
214,42083,0.4800,0.0000,256,0.002191,,
215,42339,0.4768,0.0000,256,0.002184,,
216,42362,0.4765,0.9191,23,0.001241,,
217,42400,0.4761,0.8664,38,0.001663,,
218,42656,0.4729,0.0000,256,0.001889,,
219,42912,0.4698,0.0000,256,0.001660,,
220,43168,0.4666,0.0000,256,0.002901,,
221,43424,0.4634,0.0000,256,0.002077,,
222,43611,0.4611,0.3426,187,0.001767,,
223,43867,0.4579,0.0000,256,0.001946,,
224,44123,0.4548,0.0000,256,0.002132,,
225,44379,0.4516,0.0000,256,0.002129,,
226,44462,0.4505,0.7082,83,0.002898,,
227,44553,0.4494,0.6801,91,0.002299,,
228,44809,0.4462,0.0000,256,0.002077,,
229,45065,0.4431,0.0000,256,0.001799,,
230,45310,0.4401,0.1387,245,0.001761,,
231,45566,0.4369,0.0000,256,0.001980,,
232,45822,0.4337,0.0000,256,0.002100,,
233,46012,0.4314,0.3320,190,0.002299,,
234,46268,0.4282,0.0000,256,0.002062,,
235,46524,0.4251,0.0000,256,0.001871,,
236,46780,0.4219,0.0000,256,0.001728,,
237,47036,0.4187,0.0000,256,0.001862,,
238,47292,0.4156,0.0000,256,0.001774,,
239,47401,0.4142,0.6168,109,0.003035,,
240,47657,0.4110,0.0000,256,0.001856,,
241,47913,0.4078,0.0000,256,0.001786,,
242,47944,0.4075,0.8910,31,0.001203,,
243,48200,0.4043,0.0000,256,0.001993,,
244,48276,0.4034,0.7328,76,0.001929,,
245,48532,0.4002,0.0000,256,0.002131,,
246,48672,0.3985,0.5078,140,0.001812,,
247,48876,0.3960,0.2828,204,0.001553,,
248,49132,0.3928,0.0000,256,0.002535,,
249,49375,0.3898,0.1457,243,0.002447,,
250,49417,0.3892,0.8523,42,0.001807,,
251,49497,0.3882,0.7188,80,0.001859,,
252,49753,0.3851,0.0000,256,0.002217,,
253,49823,0.3842,0.7539,70,0.001694,,
254,49863,0.3837,0.8594,40,0.002749,,
255,49902,0.3832,0.8629,39,0.001902,,
256,49917,0.3830,0.9473,15,0.001797,,
257,50139,0.3803,0.2195,222,0.002311,,
258,50191,0.3797,0.8172,52,0.001959,,
259,50220,0.3793,0.8980,29,0.003110,,
260,50287,0.3785,0.7645,67,0.001328,,
261,50303,0.3783,0.9437,16,0.001563,,
262,50559,0.3751,0.0000,256,0.001553,,
263,50780,0.3724,0.2230,221,0.002120,,
264,50808,0.3720,0.9016,28,0.002949,,
265,51000,0.3697,0.3250,192,0.002470,,
266,51021,0.3694,0.9262,21,0.002325,,
267,51277,0.3662,0.0000,256,0.002326,,
268,51350,0.3653,0.7434,73,0.001865,,
269,51606,0.3621,0.0000,256,0.002383,,
270,51649,0.3616,0.8488,43,0.003334,,
271,51674,0.3613,0.9121,25,0.001656,,
272,51925,0.3582,0.1176,251,0.002624,,
273,51947,0.3579,0.9227,22,0.002904,,
274,51963,0.3577,0.9437,16,0.001479,,
275,52018,0.3570,0.8066,55,0.001598,,
276,52036,0.3568,0.9367,18,0.004901,,
277,52210,0.3547,0.3883,174,0.002799,,
278,52334,0.3531,0.5641,124,0.002933,,
279,52402,0.3523,0.7609,68,0.001893,,
280,52510,0.3510,0.6203,108,0.001644,,
281,52600,0.3499,0.6836,90,0.001652,,
282,52614,0.3497,0.9508,14,0.001474,,
283,52636,0.3494,0.9227,22,0.001397,,
284,52671,0.3490,0.8770,35,0.001713,,
285,52927,0.3458,0.0000,256,0.002278,,
286,52941,0.3456,0.9508,14,0.001625,,
287,52953,0.3455,0.9578,12,0.001401,,
288,52969,0.3453,0.9437,16,0.001500,,
289,52985,0.3451,0.9437,16,0.002612,,
290,53152,0.3430,0.4129,167,0.001738,,
291,53179,0.3427,0.9051,27,0.002152,,
292,53300,0.3412,0.5746,121,0.002404,,
293,53333,0.3408,0.8840,33,0.003252,,
294,53411,0.3398,0.7258,78,0.003661,,
295,53433,0.3395,0.9227,22,0.003315,,
296,53604,0.3374,0.3988,171,0.002740,,
297,53659,0.3367,0.8066,55,0.001718,,
298,53672,0.3366,0.9543,13,0.001434,,
299,53691,0.3364,0.9332,19,0.006073,,
300,53761,0.3355,0.7539,70,0.002091,,
301,53799,0.3350,0.8664,38,0.001577,,
302,53864,0.3342,0.7715,65,0.002778,,
303,54041,0.3320,0.3777,177,0.002108,,
304,54056,0.3318,0.9473,15,0.002109,,
305,54070,0.3317,0.9508,14,0.001592,,
306,54086,0.3315,0.9437,16,0.004102,,
307,54108,0.3312,0.9227,22,0.002120,,
308,54124,0.3310,0.9437,16,0.001697,,
309,54145,0.3307,0.9262,21,0.005449,,
310,54163,0.3305,0.9367,18,0.003953,,
311,54180,0.3303,0.9402,17,0.002592,,
312,54196,0.3301,0.9437,16,0.002717,,
313,54327,0.3285,0.5395,131,0.001990,,
314,54342,0.3283,0.9473,15,0.001221,,
315,54598,0.3251,0.0000,256,0.002878,,
316,54628,0.3248,0.8945,30,0.002000,,
317,54640,0.3246,0.9578,12,0.003153,,
318,54670,0.3242,0.8945,30,0.001421,,
319,54701,0.3238,0.8910,31,0.003241,,
320,54847,0.3220,0.4867,146,0.001931,,
321,54907,0.3213,0.7891,60,0.001472,,
322,54920,0.3212,0.9543,13,0.001871,,
323,55033,0.3197,0.6027,113,0.002573,,
324,55059,0.3194,0.9086,26,0.003197,,
325,55072,0.3193,0.9543,13,0.007498,,
326,55123,0.3186,0.8207,51,0.001445,,
327,55175,0.3180,0.8172,52,0.002048,,
328,55231,0.3173,0.8031,56,0.002493,,
329,55244,0.3171,0.9543,13,0.005661,,
330,55260,0.3169,0.9437,16,0.001492,,
331,55274,0.3168,0.9508,14,0.001025,,
332,55287,0.3166,0.9543,13,0.001608,,
333,55335,0.3160,0.8313,48,0.003160,,
334,55414,0.3150,0.7223,79,0.003979,,
335,55456,0.3145,0.8523,42,0.001414,,
336,55470,0.3143,0.9508,14,0.001572,,
337,55526,0.3136,0.8031,56,0.002644,,
338,55537,0.3135,0.9613,11,0.001552,,
339,55653,0.3120,0.5922,116,0.002889,,
340,55709,0.3114,0.8031,56,0.001815,,
341,55754,0.3108,0.8418,45,0.003295,,
342,55813,0.3101,0.7926,59,0.001755,,
343,55825,0.3099,0.9578,12,0.001140,,
344,55844,0.3097,0.9332,19,0.001857,,
345,55861,0.3095,0.9402,17,0.001025,,
346,55879,0.3093,0.9367,18,0.001088,,
347,55891,0.3091,0.9578,12,0.001157,,
348,55960,0.3083,0.7574,69,0.002601,,
349,55991,0.3079,0.8910,31,0.003236,,
350,56022,0.3075,0.8910,31,0.002287,,
351,56067,0.3070,0.8418,45,0.003364,,
352,56110,0.3064,0.8488,43,0.003217,,
353,56133,0.3061,0.9191,23,0.001419,,
354,56259,0.3046,0.5570,126,0.003016,,
355,56274,0.3044,0.9473,15,0.001464,,
356,56290,0.3042,0.9437,16,0.003720,,
357,56356,0.3034,0.7680,66,0.002816,,
358,56392,0.3029,0.8734,36,0.004518,,
359,56438,0.3023,0.8383,46,0.003741,,
360,56453,0.3021,0.9473,15,0.005674,,
361,56669,0.2995,0.2406,216,0.003339,,
362,56683,0.2993,0.9508,14,0.001252,,
363,56758,0.2984,0.7363,75,0.003162,,
