episode,steps,epsilon,episode_reward,episode_length,loss,eval_success_rate,eval_avg_reward
1,256,0.9976,0.0000,256,0.002134,,
2,512,0.9945,0.0000,256,0.000013,,
3,768,0.9913,0.0000,256,0.000010,,
4,1024,0.9881,0.0000,256,0.000007,,
5,1152,0.9865,0.5500,128,0.000008,,
6,1408,0.9834,0.0000,256,0.000196,,
7,1664,0.9802,0.0000,256,0.000131,,
8,1920,0.9770,0.0000,256,0.000009,,
9,2176,0.9739,0.0000,256,0.000257,,
10,2432,0.9707,0.0000,256,0.000077,,
11,2688,0.9675,0.0000,256,0.000135,,
12,2944,0.9644,0.0000,256,0.000190,,
13,3200,0.9612,0.0000,256,0.000074,,
14,3297,0.9600,0.6590,97,0.000167,,
15,3360,0.9592,0.7785,63,0.000017,,
16,3616,0.9560,0.0000,256,0.000552,,
17,3872,0.9529,0.0000,256,0.000225,,
18,4128,0.9497,0.0000,256,0.000368,,
19,4254,0.9481,0.5570,126,0.000206,,
20,4510,0.9450,0.0000,256,0.000137,,
21,4704,0.9426,0.3180,194,0.000500,,
22,4960,0.9394,0.0000,256,0.000277,,
23,5216,0.9362,0.0000,256,0.000240,,
24,5330,0.9348,0.5992,114,0.000406,,
25,5586,0.9316,0.0000,256,0.000347,,
26,5841,0.9285,0.1035,255,0.000276,,
27,6097,0.9253,0.0000,256,0.000321,,
28,6353,0.9221,0.0000,256,0.000442,,
29,6476,0.9207,0.5676,123,0.000306,,
30,6732,0.9175,0.0000,256,0.000221,,
31,6988,0.9143,0.0000,256,0.000109,,
32,7244,0.9111,0.0000,256,0.000366,,
33,7500,0.9080,0.0000,256,0.000357,,
34,7756,0.9048,0.0000,256,0.000137,,
35,7790,0.9044,0.8805,34,0.000012,,
36,8046,0.9012,0.0000,256,0.000788,,
37,8222,0.8990,0.3812,176,0.000511,,
38,8478,0.8959,0.0000,256,0.000343,,
39,8734,0.8927,0.0000,256,0.000305,,
40,8982,0.8896,0.1281,248,0.000173,,
41,9238,0.8864,0.0000,256,0.000291,,
42,9494,0.8833,0.0000,256,0.000275,,
43,9750,0.8801,0.0000,256,0.000218,,
44,9833,0.8791,0.7082,83,0.000293,,
45,9981,0.8772,0.4797,148,0.000466,,
46,10237,0.8741,0.0000,256,0.000064,,
47,10493,0.8709,0.0000,256,0.000283,,
48,10562,0.8701,0.7574,69,0.000017,,
49,10818,0.8669,0.0000,256,0.000501,,
50,11074,0.8637,0.0000,256,0.000189,,
51,11114,0.8632,0.8594,40,0.000020,,
52,11300,0.8610,0.3461,186,0.000671,,
53,11556,0.8578,0.0000,256,0.000398,,
54,11720,0.8558,0.4234,164,0.000453,,
55,11976,0.8526,0.0000,256,0.000416,,
56,12232,0.8494,0.0000,256,0.000302,,
57,12488,0.8463,0.0000,256,0.000538,,
58,12744,0.8431,0.0000,256,0.000499,,
59,13000,0.8399,0.0000,256,0.000559,,
60,13256,0.8367,0.0000,256,0.000383,,
61,13512,0.8336,0.0000,256,0.000322,,
62,13768,0.8304,0.0000,256,0.000275,,
63,13819,0.8298,0.8207,51,0.000810,,
64,14075,0.8266,0.0000,256,0.000567,,
65,14278,0.8241,0.2863,203,0.000177,,
66,14397,0.8226,0.5816,119,0.000267,,
67,14653,0.8194,0.0000,256,0.000534,,
68,14858,0.8169,0.2793,205,0.000442,,
69,15114,0.8137,0.0000,256,0.000333,,
70,15370,0.8106,0.0000,256,0.000147,,
71,15563,0.8082,0.3215,193,0.000544,,
72,15819,0.8050,0.0000,256,0.000403,,
73,16035,0.8023,0.2406,216,0.000426,,
74,16091,0.8017,0.8031,56,0.000028,,
75,16347,0.7985,0.0000,256,0.000051,,
76,16417,0.7976,0.7539,70,0.000663,,
77,16593,0.7954,0.3812,176,0.000405,,
78,16849,0.7922,0.0000,256,0.000475,,
79,17105,0.7891,0.0000,256,0.000305,,
80,17180,0.7882,0.7363,75,0.000127,,
81,17436,0.7850,0.0000,256,0.000357,,
82,17692,0.7819,0.0000,256,0.000452,,
83,17790,0.7806,0.6555,98,0.000184,,
84,17843,0.7800,0.8137,53,0.000350,,
85,18099,0.7768,0.0000,256,0.000387,,
86,18355,0.7736,0.0000,256,0.000670,,
87,18611,0.7705,0.0000,256,0.000406,,
88,18759,0.7686,0.4797,148,0.000916,,
89,19015,0.7655,0.0000,256,0.000420,,
90,19084,0.7646,0.7574,69,0.000470,,
91,19187,0.7633,0.6379,103,0.000177,,
92,19258,0.7624,0.7504,71,0.000658,,
93,19514,0.7593,0.0000,256,0.000473,,
94,19770,0.7561,0.0000,256,0.000884,,
95,20026,0.7529,0.0000,256,0.000344,,
96,20081,0.7523,0.8066,55,0.000404,,
97,20143,0.7515,0.7820,62,0.000522,,
98,20399,0.7483,0.0000,256,0.000429,,
99,20603,0.7458,0.2828,204,0.000309,,
100,20859,0.7426,0.0000,256,0.000670,,
101,20962,0.7414,0.6379,103,0.000503,,
102,21015,0.7407,0.8137,53,0.000434,,
103,21125,0.7393,0.6133,110,0.000117,,
104,21381,0.7362,0.0000,256,0.000920,,
105,21518,0.7345,0.5184,137,0.000416,,
106,21611,0.7333,0.6730,93,0.001344,,
107,21867,0.7302,0.0000,256,0.000199,,
108,22123,0.7270,0.0000,256,0.000360,,
109,22249,0.7254,0.5570,126,0.000686,,
110,22363,0.7240,0.5992,114,0.000727,,
111,22588,0.7213,0.2090,225,0.001117,,
112,22638,0.7206,0.8242,50,0.000926,,
113,22894,0.7175,0.0000,256,0.000820,,
114,23027,0.7158,0.5324,133,0.001132,,
