episode,steps,epsilon,episode_reward,episode_length,loss,eval_success_rate,eval_avg_reward
1,256,0.9976,0.0000,256,0.001407,,
2,512,0.9945,0.0000,256,0.000743,,
3,768,0.9913,0.0000,256,0.000805,,
4,1024,0.9881,0.0000,256,0.000880,,
5,1152,0.9865,0.5500,128,0.000925,,
6,1408,0.9834,0.0000,256,0.001141,,
7,1664,0.9802,0.0000,256,0.001097,,
8,1920,0.9770,0.0000,256,0.001016,,
9,2176,0.9739,0.0000,256,0.001221,,
10,2432,0.9707,0.0000,256,0.001049,,
11,2688,0.9675,0.0000,256,0.001132,,
12,2944,0.9644,0.0000,256,0.001217,,
13,3200,0.9612,0.0000,256,0.001016,,
14,3297,0.9600,0.6590,97,0.001077,,
15,3360,0.9592,0.7785,63,0.001033,,
16,3616,0.9560,0.0000,256,0.001564,,
17,3872,0.9529,0.0000,256,0.001227,,
18,4113,0.9499,0.1527,241,0.001417,,
19,4369,0.9467,0.0000,256,0.001125,,
20,4625,0.9435,0.0000,256,0.001249,,
21,4881,0.9404,0.0000,256,0.001444,,
22,4928,0.9398,0.8348,47,0.001044,,
23,5072,0.9380,0.4938,144,0.001042,,
24,5325,0.9349,0.1105,253,0.001690,,
25,5581,0.9317,0.0000,256,0.001736,,
26,5759,0.9295,0.3742,178,0.001244,,
27,6015,0.9263,0.0000,256,0.001602,,
28,6271,0.9232,0.0000,256,0.001100,,
29,6527,0.9200,0.0000,256,0.001240,,
30,6613,0.9189,0.6977,86,0.001847,,
31,6648,0.9185,0.8770,35,0.001729,,
32,6904,0.9154,0.0000,256,0.001400,,
33,7160,0.9122,0.0000,256,0.001712,,
34,7416,0.9090,0.0000,256,0.001807,,
35,7672,0.9059,0.0000,256,0.001680,,
36,7928,0.9027,0.0000,256,0.001615,,
37,7983,0.9020,0.8066,55,0.001556,,
38,8067,0.9010,0.7047,84,0.002564,,
39,8323,0.8978,0.0000,256,0.001443,,
40,8380,0.8971,0.7996,57,0.001238,,
41,8636,0.8939,0.0000,256,0.001760,,
42,8892,0.8908,0.0000,256,0.001680,,
43,9148,0.8876,0.0000,256,0.001683,,
44,9404,0.8844,0.0000,256,0.001838,,
45,9616,0.8818,0.2547,212,0.001375,,
46,9872,0.8786,0.0000,256,0.001635,,
47,10124,0.8755,0.1141,252,0.001665,,
48,10380,0.8723,0.0000,256,0.002108,,
49,10589,0.8697,0.2652,209,0.001580,,
50,10845,0.8665,0.0000,256,0.001757,,
51,11076,0.8637,0.1879,231,0.001533,,
52,11135,0.8630,0.7926,59,0.001286,,
53,11300,0.8610,0.4199,165,0.002421,,
54,11391,0.8598,0.6801,91,0.002779,,
55,11647,0.8566,0.0000,256,0.001385,,
56,11852,0.8541,0.2793,205,0.002325,,
57,11992,0.8524,0.5078,140,0.001813,,
58,12248,0.8492,0.0000,256,0.002150,,
59,12502,0.8461,0.1070,254,0.002546,,
60,12582,0.8451,0.7188,80,0.001347,,
61,12641,0.8443,0.7926,59,0.002152,,
62,12709,0.8435,0.7609,68,0.001162,,
63,12907,0.8411,0.3039,198,0.001789,,
64,13163,0.8379,0.0000,256,0.002353,,
65,13419,0.8347,0.0000,256,0.001724,,
66,13626,0.8321,0.2723,207,0.002441,,
67,13882,0.8290,0.0000,256,0.001860,,
68,13985,0.8277,0.6379,103,0.001912,,
69,14079,0.8266,0.6695,94,0.001974,,
70,14180,0.8253,0.6449,101,0.002261,,
71,14436,0.8221,0.0000,256,0.002016,,
72,14692,0.8190,0.0000,256,0.002404,,
73,14858,0.8169,0.4164,166,0.002117,,
74,15114,0.8137,0.0000,256,0.001873,,
75,15370,0.8106,0.0000,256,0.002515,,
76,15563,0.8082,0.3215,193,0.002491,,
77,15645,0.8071,0.7117,82,0.001980,,
78,15710,0.8064,0.7715,65,0.002446,,
79,15966,0.8032,0.0000,256,0.002180,,
80,16222,0.8000,0.0000,256,0.002854,,
81,16440,0.7973,0.2336,218,0.003192,,
82,16497,0.7966,0.7996,57,0.002737,,
83,16753,0.7934,0.0000,256,0.001908,,
84,16826,0.7925,0.7434,73,0.002177,,
85,16891,0.7918,0.7715,65,0.002350,,
86,17147,0.7886,0.0000,256,0.002568,,
87,17283,0.7869,0.5219,136,0.001854,,
88,17330,0.7863,0.8348,47,0.001933,,
89,17514,0.7840,0.3531,184,0.002262,,
90,17770,0.7809,0.0000,256,0.002236,,
91,17873,0.7796,0.6379,103,0.001931,,
92,18129,0.7764,0.0000,256,0.002381,,
93,18202,0.7755,0.7434,73,0.002662,,
94,18458,0.7723,0.0000,256,0.002320,,
95,18588,0.7708,0.5430,130,0.002710,,
96,18616,0.7704,0.9016,28,0.002924,,
97,18818,0.7679,0.2898,202,0.002937,,
98,18860,0.7674,0.8523,42,0.002426,,
99,19116,0.7642,0.0000,256,0.002173,,
100,19372,0.7611,0.0000,256,0.003022,,
101,19453,0.7600,0.7152,81,0.002050,,
102,19532,0.7591,0.7223,79,0.002412,,
103,19788,0.7559,0.0000,256,0.002408,,
104,20044,0.7527,0.0000,256,0.002130,,
105,20300,0.7496,0.0000,256,0.002847,,
106,20320,0.7493,0.9297,20,0.003451,,
107,20576,0.7462,0.0000,256,0.002740,,
108,20742,0.7441,0.4164,166,0.002722,,
109,20770,0.7437,0.9016,28,0.001154,,
110,21026,0.7406,0.0000,256,0.002880,,
111,21282,0.7374,0.0000,256,0.003674,,
112,21411,0.7358,0.5465,129,0.004447,,
113,21497,0.7347,0.6977,86,0.003735,,
114,21518,0.7345,0.9262,21,0.003086,,
115,21774,0.7313,0.0000,256,0.002964,,
116,21927,0.7294,0.4621,153,0.001782,,
117,22018,0.7283,0.6801,91,0.002330,,
118,22094,0.7274,0.7328,76,0.002353,,
119,22350,0.7242,0.0000,256,0.002324,,
120,22606,0.7210,0.0000,256,0.002275,,
121,22862,0.7178,0.0000,256,0.003263,,
122,22895,0.7175,0.8840,33,0.001198,,
123,23151,0.7143,0.0000,256,0.002852,,
124,23312,0.7123,0.4340,161,0.002614,,
125,23568,0.7091,0.0000,256,0.002422,,
126,23621,0.7084,0.8137,53,0.002912,,
127,23877,0.7053,0.0000,256,0.002544,,
128,23970,0.7041,0.6730,93,0.001669,,
129,24226,0.7010,0.0000,256,0.002207,,
130,24482,0.6978,0.0000,256,0.002309,,
131,24738,0.6946,0.0000,256,0.004599,,
132,24994,0.6915,0.0000,256,0.002842,,
133,25029,0.6910,0.8770,35,0.003210,,
134,25285,0.6879,0.0000,256,0.003544,,
135,25541,0.6847,0.0000,256,0.003557,,
136,25797,0.6815,0.0000,256,0.002807,,
137,26053,0.6783,0.0000,256,0.003425,,
138,26309,0.6752,0.0000,256,0.002914,,
139,26565,0.6720,0.0000,256,0.001872,,
140,26821,0.6688,0.0000,256,0.003376,,
141,27077,0.6657,0.0000,256,0.002610,,
142,27333,0.6625,0.0000,256,0.002045,,
143,27589,0.6593,0.0000,256,0.002803,,
144,27845,0.6562,0.0000,256,0.002673,,
145,28101,0.6530,0.0000,256,0.002748,,
146,28277,0.6508,0.3812,176,0.002839,,
