episode,steps,epsilon,episode_reward,episode_length,loss,eval_success_rate,eval_avg_reward
1,240,0.9978,0.1562,240,0.002422,,
2,360,0.9963,0.5781,120,0.000820,,
3,616,0.9932,0.0000,256,0.001313,,
4,872,0.9900,0.0000,256,0.001606,,
5,1128,0.9868,0.0000,256,0.001170,,
6,1384,0.9837,0.0000,256,0.001072,,
7,1549,0.9816,0.4199,165,0.000719,,
8,1805,0.9784,0.0000,256,0.001411,,
9,2061,0.9752,0.0000,256,0.001002,,
10,2317,0.9721,0.0000,256,0.001188,,
11,2573,0.9689,0.0000,256,0.001186,,
12,2829,0.9657,0.0000,256,0.000946,,
13,3085,0.9626,0.0000,256,0.000852,,
14,3244,0.9606,0.4410,159,0.000912,,
15,3450,0.9581,0.2758,206,0.000860,,
16,3653,0.9555,0.2863,203,0.000885,,
17,3909,0.9524,0.0000,256,0.000978,,
18,4165,0.9492,0.0000,256,0.001120,,
19,4421,0.9460,0.0000,256,0.000929,,
20,4677,0.9429,0.0000,256,0.000866,,
21,4737,0.9421,0.7891,60,0.000904,,
22,4894,0.9402,0.4480,157,0.000951,,
23,5150,0.9370,0.0000,256,0.001049,,
24,5406,0.9339,0.0000,256,0.000899,,
25,5662,0.9307,0.0000,256,0.001020,,
26,5756,0.9296,0.6695,94,0.000811,,
27,6012,0.9264,0.0000,256,0.001502,,
28,6268,0.9232,0.0000,256,0.001104,,
29,6524,0.9201,0.0000,256,0.001531,,
30,6780,0.9169,0.0000,256,0.001248,,
31,7036,0.9137,0.0000,256,0.001120,,
32,7292,0.9106,0.0000,256,0.001047,,
33,7548,0.9074,0.0000,256,0.001005,,
34,7804,0.9042,0.0000,256,0.000942,,
35,8060,0.9010,0.0000,256,0.001037,,
36,8316,0.8979,0.0000,256,0.000944,,
37,8386,0.8970,0.7539,70,0.000820,,
38,8594,0.8944,0.2687,208,0.000912,,
39,8850,0.8912,0.0000,256,0.000935,,
40,8975,0.8897,0.5605,125,0.001211,,
41,9231,0.8865,0.0000,256,0.001286,,
42,9393,0.8845,0.4305,162,0.001050,,
43,9649,0.8813,0.0000,256,0.001368,,
44,9905,0.8782,0.0000,256,0.001305,,
45,10018,0.8768,0.6027,113,0.000966,,
46,10195,0.8746,0.3777,177,0.001119,,
47,10451,0.8714,0.0000,256,0.001421,,
48,10707,0.8683,0.0000,256,0.001321,,
49,10871,0.8663,0.4234,164,0.001091,,
50,11127,0.8631,0.0000,256,0.001189,,
51,11152,0.8628,0.9121,25,0.000921,,
52,11408,0.8596,0.0000,256,0.001481,,
53,11664,0.8564,0.0000,256,0.001223,,
54,11920,0.8533,0.0000,256,0.001370,,
55,12024,0.8520,0.6344,104,0.001089,,
56,12237,0.8493,0.2512,213,0.001435,,
57,12493,0.8462,0.0000,256,0.001380,,
58,12673,0.8439,0.3672,180,0.001536,,
59,12929,0.8408,0.0000,256,0.001233,,
60,13060,0.8392,0.5395,131,0.001028,,
61,13179,0.8377,0.5816,119,0.001276,,
62,13435,0.8345,0.0000,256,0.001269,,
63,13691,0.8314,0.0000,256,0.001608,,
64,13947,0.8282,0.0000,256,0.001239,,
65,14036,0.8271,0.6871,89,0.000986,,
66,14171,0.8254,0.5254,135,0.001471,,
67,14220,0.8248,0.8277,49,0.001634,,
68,14476,0.8217,0.0000,256,0.001461,,
