episode,steps,epsilon,episode_reward,episode_length,loss,eval_success_rate,eval_avg_reward
132,27062,0.6659,0.8383,46,0.002710,,
133,27318,0.6627,0.0000,256,0.002294,,
134,27574,0.6595,0.0000,256,0.001869,,
135,27754,0.6573,0.3672,180,0.002002,,
136,27795,0.6568,0.8559,41,0.002414,,
137,27959,0.6548,0.4234,164,0.002186,,
138,28048,0.6537,0.6871,89,0.003388,,
139,28304,0.6505,0.0000,256,0.001506,,
140,28560,0.6474,0.0000,256,0.002247,,
141,28769,0.6447,0.2652,209,0.003437,,
142,28922,0.6429,0.4621,153,0.003813,,
143,29029,0.6415,0.6238,107,0.004421,,
144,29276,0.6385,0.1316,247,0.001374,,
145,29435,0.6365,0.4410,159,0.001531,,
146,29630,0.6341,0.3145,195,0.001905,,
147,29886,0.6309,0.0000,256,0.002450,,
148,30142,0.6278,0.0000,256,0.001811,,
149,30371,0.6249,0.1949,229,0.001967,,
150,30539,0.6229,0.4094,168,0.002249,,
151,30795,0.6197,0.0000,256,0.001816,,
152,30841,0.6191,0.8383,46,0.002540,,
153,31097,0.6159,0.0000,256,0.001748,,
154,31266,0.6139,0.4059,169,0.001486,,
155,31316,0.6133,0.8242,50,0.002415,,
156,31346,0.6129,0.8945,30,0.001736,,
157,31471,0.6113,0.5605,125,0.001916,,
158,31688,0.6087,0.2371,217,0.003152,,
159,31944,0.6055,0.0000,256,0.002658,,
160,32034,0.6043,0.6836,90,0.002468,,
161,32074,0.6039,0.8594,40,0.001202,,
162,32180,0.6026,0.6273,106,0.001817,,
163,32414,0.5996,0.1773,234,0.002899,,
164,32522,0.5983,0.6203,108,0.001493,,
165,32562,0.5978,0.8594,40,0.001651,,
166,32818,0.5946,0.0000,256,0.003119,,
167,33074,0.5915,0.0000,256,0.002602,,
168,33154,0.5905,0.7188,80,0.001999,,
169,33281,0.5889,0.5535,127,0.003622,,
170,33537,0.5857,0.0000,256,0.003194,,
171,33723,0.5835,0.3461,186,0.001950,,
172,33979,0.5803,0.0000,256,0.002518,,
173,34235,0.5771,0.0000,256,0.002185,,
174,34288,0.5765,0.8137,53,0.001250,,
175,34418,0.5748,0.5430,130,0.001481,,
176,34554,0.5732,0.5219,136,0.002781,,
177,34581,0.5728,0.9051,27,0.000980,,
178,34623,0.5723,0.8523,42,0.003477,,
179,34714,0.5712,0.6801,91,0.001350,,
180,34728,0.5710,0.9508,14,0.002913,,
181,34859,0.5694,0.5395,131,0.002609,,
182,34922,0.5686,0.7785,63,0.002867,,
183,35057,0.5669,0.5254,135,0.002921,,
184,35313,0.5638,0.0000,256,0.002252,,
185,35442,0.5622,0.5465,129,0.002261,,
186,35698,0.5590,0.0000,256,0.002104,,
187,35954,0.5558,0.0000,256,0.001729,,
188,35968,0.5557,0.9508,14,0.001132,,
189,36224,0.5525,0.0000,256,0.002628,,
190,36272,0.5519,0.8313,48,0.001414,,
191,36367,0.5507,0.6660,95,0.002266,,
192,36400,0.5503,0.8840,33,0.001110,,
193,36656,0.5472,0.0000,256,0.002858,,
194,36912,0.5440,0.0000,256,0.002311,,
195,37168,0.5408,0.0000,256,0.002007,,
196,37210,0.5403,0.8523,42,0.001985,,
197,37232,0.5400,0.9227,22,0.001632,,
