episode,steps,epsilon,episode_reward,episode_length,loss,eval_success_rate,eval_avg_reward
1,256,0.9976,0.0000,256,0.002487,,
2,512,0.9945,0.0000,256,0.000493,,
3,768,0.9913,0.0000,256,0.000587,,
4,1024,0.9881,0.0000,256,0.000638,,
5,1152,0.9865,0.5500,128,0.000647,,
6,1408,0.9834,0.0000,256,0.000854,,
7,1664,0.9802,0.0000,256,0.000789,,
8,1777,0.9788,0.6027,113,0.000664,,
9,2033,0.9756,0.0000,256,0.000818,,
10,2289,0.9724,0.0000,256,0.001212,,
11,2394,0.9711,0.6309,105,0.000852,,
12,2650,0.9680,0.0000,256,0.000980,,
13,2866,0.9653,0.2406,216,0.001049,,
14,3122,0.9621,0.0000,256,0.000888,,
15,3297,0.9600,0.3848,175,0.001329,,
16,3360,0.9592,0.7785,63,0.000797,,
17,3616,0.9560,0.0000,256,0.001713,,
18,3872,0.9529,0.0000,256,0.001146,,
19,4113,0.9499,0.1527,241,0.001387,,
20,4369,0.9467,0.0000,256,0.000901,,
21,4625,0.9435,0.0000,256,0.001306,,
22,4881,0.9404,0.0000,256,0.001231,,
23,4928,0.9398,0.8348,47,0.001411,,
24,5072,0.9380,0.4938,144,0.000910,,
25,5325,0.9349,0.1105,253,0.001668,,
26,5581,0.9317,0.0000,256,0.001519,,
27,5759,0.9295,0.3742,178,0.001016,,
28,6015,0.9263,0.0000,256,0.001394,,
29,6271,0.9232,0.0000,256,0.001091,,
30,6527,0.9200,0.0000,256,0.000922,,
31,6613,0.9189,0.6977,86,0.002140,,
32,6648,0.9185,0.8770,35,0.001385,,
33,6904,0.9154,0.0000,256,0.001180,,
34,7160,0.9122,0.0000,256,0.001365,,
35,7416,0.9090,0.0000,256,0.001520,,
36,7672,0.9059,0.0000,256,0.001403,,
37,7928,0.9027,0.0000,256,0.001298,,
38,7983,0.9020,0.8066,55,0.001323,,
39,8067,0.9010,0.7047,84,0.002312,,
40,8323,0.8978,0.0000,256,0.001004,,
41,8380,0.8971,0.7996,57,0.000947,,
42,8636,0.8939,0.0000,256,0.001455,,
43,8892,0.8908,0.0000,256,0.001344,,
