episode,steps,epsilon,episode_reward,episode_length,loss,eval_success_rate,eval_avg_reward
132,24142,0.7020,0.4270,163,0.001935,,
133,24222,0.7010,0.7188,80,0.002415,,
134,24359,0.6993,0.5184,137,0.001334,,
135,24516,0.6974,0.4480,157,0.001761,,
136,24772,0.6942,0.0000,256,0.002695,,
137,25028,0.6911,0.0000,256,0.001900,,
138,25284,0.6879,0.0000,256,0.002265,,
139,25452,0.6858,0.4094,168,0.002690,,
140,25708,0.6827,0.0000,256,0.001969,,
141,25741,0.6822,0.8840,33,0.001345,,
142,25997,0.6790,0.0000,256,0.001857,,
143,26070,0.6782,0.7434,73,0.001749,,
144,26272,0.6757,0.2898,202,0.002257,,
145,26313,0.6751,0.8559,41,0.001646,,
146,26477,0.6731,0.4234,164,0.001513,,
147,26594,0.6717,0.5887,117,0.002035,,
148,26675,0.6707,0.7152,81,0.001842,,
149,26877,0.6682,0.2898,202,0.002898,,
150,26954,0.6672,0.7293,77,0.002277,,
151,27016,0.6665,0.7820,62,0.002616,,
152,27066,0.6658,0.8242,50,0.001381,,
153,27322,0.6627,0.0000,256,0.001789,,
154,27435,0.6613,0.6027,113,0.001527,,
155,27527,0.6601,0.6766,92,0.002117,,
156,27575,0.6595,0.8313,48,0.002215,,
157,27831,0.6564,0.0000,256,0.002165,,
158,27984,0.6545,0.4621,153,0.002337,,
159,28240,0.6513,0.0000,256,0.001992,,
160,28314,0.6504,0.7398,74,0.002522,,
161,28402,0.6493,0.6906,88,0.002507,,
162,28658,0.6461,0.0000,256,0.002824,,
163,28914,0.6430,0.0000,256,0.001990,,
164,29003,0.6419,0.6871,89,0.002027,,
165,29259,0.6387,0.0000,256,0.002093,,
166,29515,0.6355,0.0000,256,0.002243,,
167,29771,0.6324,0.0000,256,0.001990,,
168,29818,0.6318,0.8348,47,0.002240,,
169,30074,0.6286,0.0000,256,0.002377,,
170,30330,0.6254,0.0000,256,0.002369,,
171,30586,0.6223,0.0000,256,0.002426,,
172,30842,0.6191,0.0000,256,0.002465,,
173,31098,0.6159,0.0000,256,0.002457,,
174,31354,0.6128,0.0000,256,0.002423,,
175,31570,0.6101,0.2406,216,0.002162,,
176,31603,0.6097,0.8840,33,0.002071,,
177,31859,0.6065,0.0000,256,0.002271,,
178,31885,0.6062,0.9086,26,0.005344,,
179,32141,0.6030,0.0000,256,0.002499,,
180,32397,0.5998,0.0000,256,0.002983,,
181,32653,0.5967,0.0000,256,0.002438,,
182,32909,0.5935,0.0000,256,0.001813,,
183,33165,0.5903,0.0000,256,0.002152,,
184,33421,0.5872,0.0000,256,0.002186,,
185,33677,0.5840,0.0000,256,0.002141,,
186,33933,0.5808,0.0000,256,0.002513,,
187,34189,0.5777,0.0000,256,0.002396,,
188,34445,0.5745,0.0000,256,0.002186,,
189,34701,0.5713,0.0000,256,0.001958,,
190,34957,0.5682,0.0000,256,0.001710,,
191,35213,0.5650,0.0000,256,0.002249,,
192,35469,0.5618,0.0000,256,0.001822,,
193,35725,0.5587,0.0000,256,0.002373,,
194,35981,0.5555,0.0000,256,0.002192,,
195,36237,0.5523,0.0000,256,0.002270,,
196,36493,0.5492,0.0000,256,0.002802,,
197,36749,0.5460,0.0000,256,0.001738,,
198,37005,0.5428,0.0000,256,0.002503,,
199,37261,0.5396,0.0000,256,0.002076,,
200,37517,0.5365,0.0000,256,0.002526,,
201,37773,0.5333,0.0000,256,0.002005,,
202,38029,0.5301,0.0000,256,0.002150,,
203,38285,0.5270,0.0000,256,0.002241,,
204,38541,0.5238,0.0000,256,0.002522,,
205,38797,0.5206,0.0000,256,0.002150,,
206,38815,0.5204,0.9367,18,0.001536,,
207,39071,0.5173,0.0000,256,0.002214,,
208,39327,0.5141,0.0000,256,0.002274,,
209,39583,0.5109,0.0000,256,0.002046,,
210,39839,0.5078,0.0000,256,0.002412,,
211,40095,0.5046,0.0000,256,0.001650,,
212,40351,0.5014,0.0000,256,0.002515,,
213,40607,0.4983,0.0000,256,0.002760,,
214,40863,0.4951,0.0000,256,0.002089,,
215,40971,0.4938,0.6203,108,0.003054,,
216,41031,0.4930,0.7891,60,0.002415,,
217,41287,0.4899,0.0000,256,0.002400,,
218,41455,0.4878,0.4094,168,0.002781,,
219,41577,0.4862,0.5711,122,0.002325,,
220,41833,0.4831,0.0000,256,0.001938,,
221,42019,0.4808,0.3461,186,0.002389,,
222,42038,0.4805,0.9332,19,0.002622,,
223,42294,0.4774,0.0000,256,0.002121,,
224,42550,0.4742,0.0000,256,0.002353,,
225,42570,0.4740,0.9297,20,0.002407,,
226,42826,0.4708,0.0000,256,0.002288,,
227,42849,0.4705,0.9191,23,0.001759,,
228,42866,0.4703,0.9402,17,0.001820,,
229,42937,0.4694,0.7504,71,0.002685,,
230,42960,0.4692,0.9191,23,0.001845,,
231,43078,0.4677,0.5852,118,0.002036,,
232,43094,0.4675,0.9437,16,0.003344,,
233,43350,0.4643,0.0000,256,0.002630,,
234,43435,0.4633,0.7012,85,0.002685,,
235,43672,0.4604,0.1668,237,0.001869,,
236,43711,0.4599,0.8629,39,0.002856,,
237,43967,0.4567,0.0000,256,0.002737,,
238,44055,0.4556,0.6906,88,0.002731,,
239,44070,0.4554,0.9473,15,0.003539,,
240,44094,0.4551,0.9156,24,0.002881,,
241,44350,0.4519,0.0000,256,0.002110,,
242,44443,0.4508,0.6730,93,0.002669,,
243,44530,0.4497,0.6941,87,0.003075,,
244,44786,0.4465,0.0000,256,0.001900,,
245,44798,0.4464,0.9578,12,0.001181,,
246,44908,0.4451,0.6133,110,0.002573,,
247,45004,0.4439,0.6625,96,0.002090,,
248,45043,0.4434,0.8629,39,0.001692,,
249,45199,0.4414,0.4516,156,0.002270,,
250,45386,0.4391,0.3426,187,0.002503,,
251,45401,0.4389,0.9473,15,0.001312,,
252,45569,0.4368,0.4094,168,0.002034,,
253,45639,0.4360,0.7539,70,0.002495,,
254,45655,0.4358,0.9437,16,0.007242,,
255,45694,0.4353,0.8629,39,0.002528,,
256,45921,0.4325,0.2020,227,0.002467,,
257,45939,0.4323,0.9367,18,0.002163,,
258,46102,0.4303,0.4270,163,0.002738,,
259,46114,0.4301,0.9578,12,0.001272,,
260,46132,0.4299,0.9367,18,0.001677,,
261,46241,0.4285,0.6168,109,0.002505,,
262,46280,0.4281,0.8629,39,0.001621,,
263,46298,0.4278,0.9367,18,0.001658,,
264,46314,0.4276,0.9437,16,0.001372,,
265,46360,0.4271,0.8383,46,0.001680,,
266,46378,0.4268,0.9367,18,0.001148,,
267,46394,0.4266,0.9437,16,0.001416,,
268,46420,0.4263,0.9086,26,0.002500,,
269,46479,0.4256,0.7926,59,0.001697,,
270,46494,0.4254,0.9473,15,0.001546,,
271,46523,0.4251,0.8980,29,0.002075,,
272,46599,0.4241,0.7328,76,0.002915,,
273,46673,0.4232,0.7398,74,0.002823,,
274,46794,0.4217,0.5746,121,0.002370,,
275,46854,0.4209,0.7891,60,0.002375,,
276,46984,0.4194,0.5430,130,0.002636,,
277,47002,0.4191,0.9367,18,0.003549,,
278,47028,0.4188,0.9086,26,0.001845,,
279,47042,0.4186,0.9508,14,0.001499,,
280,47054,0.4185,0.9578,12,0.002845,,
281,47076,0.4182,0.9227,22,0.005883,,
282,47178,0.4169,0.6414,102,0.003005,,
283,47197,0.4167,0.9332,19,0.002085,,
284,47340,0.4150,0.4973,143,0.002783,,
285,47361,0.4147,0.9262,21,0.001635,,
286,47372,0.4146,0.9613,11,0.000876,,
287,47427,0.4139,0.8066,55,0.002307,,
288,47447,0.4136,0.9297,20,0.003125,,
289,47518,0.4127,0.7504,71,0.003406,,
290,47656,0.4110,0.5148,138,0.002510,,
291,47713,0.4103,0.7996,57,0.002042,,
292,47726,0.4102,0.9543,13,0.001812,,
293,47739,0.4100,0.9543,13,0.004048,,
294,47995,0.4068,0.0000,256,0.003480,,
295,48021,0.4065,0.9086,26,0.004348,,
296,48043,0.4062,0.9227,22,0.002916,,
297,48070,0.4059,0.9051,27,0.002339,,
298,48083,0.4058,0.9543,13,0.001746,,
299,48172,0.4047,0.6871,89,0.003222,,
300,48188,0.4045,0.9437,16,0.001943,,
301,48213,0.4041,0.9121,25,0.001542,,
302,48228,0.4040,0.9473,15,0.001726,,
303,48247,0.4037,0.9332,19,0.003354,,
304,48258,0.4036,0.9613,11,0.001642,,
305,48270,0.4034,0.9578,12,0.001584,,
306,48330,0.4027,0.7891,60,0.001900,,
307,48347,0.4025,0.9402,17,0.002026,,
308,48387,0.4020,0.8594,40,0.003317,,
309,48400,0.4018,0.9543,13,0.001394,,
310,48412,0.4017,0.9578,12,0.001595,,
311,48474,0.4009,0.7820,62,0.002627,,
312,48504,0.4006,0.8945,30,0.004638,,
313,48531,0.4002,0.9051,27,0.002868,,
314,48550,0.4000,0.9332,19,0.003248,,
315,48569,0.3997,0.9332,19,0.004212,,
316,48582,0.3996,0.9543,13,0.001792,,
317,48600,0.3994,0.9367,18,0.004822,,
318,48612,0.3992,0.9578,12,0.002321,,
319,48628,0.3990,0.9437,16,0.002375,,
320,48704,0.3981,0.7328,76,0.003701,,
321,48749,0.3975,0.8418,45,0.001905,,
322,48857,0.3961,0.6203,108,0.003792,,
323,48877,0.3959,0.9297,20,0.002504,,
324,48897,0.3957,0.9297,20,0.001592,,
325,48918,0.3954,0.9262,21,0.001282,,
326,48970,0.3948,0.8172,52,0.004784,,
327,49006,0.3943,0.8734,36,0.001831,,
328,49025,0.3941,0.9332,19,0.001580,,
329,49036,0.3940,0.9613,11,0.002070,,
330,49079,0.3934,0.8488,43,0.002964,,
331,49238,0.3914,0.4410,159,0.003381,,
332,49324,0.3904,0.6977,86,0.002477,,
333,49377,0.3897,0.8137,53,0.002356,,
334,49438,0.3890,0.7855,61,0.001590,,
335,49458,0.3887,0.9297,20,0.002342,,
336,49504,0.3882,0.8383,46,0.002354,,
337,49560,0.3875,0.8031,56,0.003374,,
338,49601,0.3869,0.8559,41,0.003232,,
339,49717,0.3855,0.5922,116,0.003456,,
340,49747,0.3852,0.8945,30,0.001522,,
341,49768,0.3849,0.9262,21,0.003004,,
342,49785,0.3847,0.9402,17,0.004113,,
343,49801,0.3845,0.9437,16,0.002620,,
344,49829,0.3841,0.9016,28,0.002357,,
345,49844,0.3840,0.9473,15,0.001481,,
346,50018,0.3818,0.3883,174,0.002468,,
347,50035,0.3816,0.9402,17,0.001483,,
348,50055,0.3813,0.9297,20,0.003299,,
349,50072,0.3812,0.9402,17,0.002521,,
350,50096,0.3809,0.9156,24,0.004671,,
351,50138,0.3803,0.8523,42,0.002912,,
352,50155,0.3801,0.9402,17,0.003689,,
353,50169,0.3799,0.9508,14,0.004067,,
354,50204,0.3795,0.8770,35,0.003347,,
355,50221,0.3793,0.9402,17,0.004483,,
356,50240,0.3791,0.9332,19,0.002265,,
357,50264,0.3788,0.9156,24,0.002670,,
358,50277,0.3786,0.9543,13,0.002078,,
359,50312,0.3782,0.8770,35,0.002938,,
360,50330,0.3779,0.9367,18,0.002194,,
361,50344,0.3778,0.9508,14,0.004480,,
362,50357,0.3776,0.9543,13,0.002123,,
363,50427,0.3767,0.7539,70,0.003854,,
364,50461,0.3763,0.8805,34,0.001704,,
365,50474,0.3762,0.9543,13,0.003986,,
366,50488,0.3760,0.9508,14,0.004227,,
367,50510,0.3757,0.9227,22,0.002595,,
368,50563,0.3751,0.8137,53,0.001911,,
369,50575,0.3749,0.9578,12,0.001722,,
370,50590,0.3747,0.9473,15,0.001049,,
371,50604,0.3746,0.9508,14,0.004828,,
372,50615,0.3744,0.9613,11,0.001631,,
373,50685,0.3735,0.7539,70,0.003089,,
374,50697,0.3734,0.9578,12,0.001913,,
375,50715,0.3732,0.9367,18,0.002721,,
376,50741,0.3728,0.9086,26,0.003224,,
377,50753,0.3727,0.9578,12,0.001682,,
378,50775,0.3724,0.9227,22,0.003952,,
379,50813,0.3719,0.8664,38,0.003868,,
380,50883,0.3711,0.7539,70,0.002420,,
381,50976,0.3700,0.6730,93,0.003973,,
382,51048,0.3691,0.7469,72,0.002251,,
383,51097,0.3684,0.8277,49,0.003735,,
384,51113,0.3682,0.9437,16,0.002376,,
385,51134,0.3680,0.9262,21,0.004082,,
386,51151,0.3678,0.9402,17,0.001800,,
387,51164,0.3676,0.9543,13,0.004337,,
388,51182,0.3674,0.9367,18,0.004459,,
389,51208,0.3671,0.9086,26,0.001753,,
390,51235,0.3667,0.9051,27,0.002835,,
391,51252,0.3665,0.9402,17,0.003147,,
392,51267,0.3664,0.9473,15,0.005063,,
393,51344,0.3654,0.7293,77,0.002396,,
394,51360,0.3652,0.9437,16,0.003292,,
395,51373,0.3650,0.9543,13,0.003546,,
396,51419,0.3645,0.8383,46,0.003521,,
397,51505,0.3634,0.6977,86,0.003079,,
398,51523,0.3632,0.9367,18,0.003623,,
399,51540,0.3630,0.9402,17,0.005580,,
400,51583,0.3624,0.8488,43,0.002632,,
401,51611,0.3621,0.9016,28,0.002636,,
402,51631,0.3618,0.9297,20,0.005855,,
403,51718,0.3608,0.6941,87,0.004142,,
404,51747,0.3604,0.8980,29,0.003903,,
405,51774,0.3601,0.9051,27,0.003984,,
406,51793,0.3598,0.9332,19,0.001464,,
407,51810,0.3596,0.9402,17,0.004165,,
408,51826,0.3594,0.9437,16,0.001312,,
409,51853,0.3591,0.9051,27,0.003826,,
410,51866,0.3589,0.9543,13,0.003817,,
411,51879,0.3588,0.9543,13,0.001767,,
412,51965,0.3577,0.6977,86,0.003867,,
413,51977,0.3575,0.9578,12,0.001176,,
414,52064,0.3565,0.6941,87,0.004740,,
415,52079,0.3563,0.9473,15,0.003796,,
416,52101,0.3560,0.9227,22,0.002349,,
417,52125,0.3557,0.9156,24,0.004546,,
418,52142,0.3555,0.9402,17,0.001885,,
419,52166,0.3552,0.9156,24,0.004397,,
420,52247,0.3542,0.7152,81,0.003029,,
421,52270,0.3539,0.9191,23,0.004271,,
422,52304,0.3535,0.8805,34,0.002695,,
423,52404,0.3523,0.6484,100,0.004431,,
424,52419,0.3521,0.9473,15,0.001833,,
425,52432,0.3519,0.9543,13,0.003868,,
426,52444,0.3518,0.9578,12,0.004029,,
